zip,city,pilot,stage,p1_items,p1_clean,p2_items,p4_deferred,candidate_decisions,discovery_passes,discovery_status,last_discovery_at,historical_evidence_rows,directory_rows,excluded_rows,source_candidates,external_discoveries,confirmed,needs_verification,identity_review,status_unresolved,gp_scope_unresolved,location_incomplete,probable_non_office,likely_specialist_only,source_unrepresented,external_pending,researched_unresolved,resolved_excluded,dir_with_coords,dir_missing_coords,dir_coords_recoverable,dir_coords_suspect,dir_site_checked_live,dir_prior_web_research,dir_ownership_review_only,dir_no_prior_research,dir_identity_flagged,open_items,review_items,sources_searched,last_activity,batch_rank
60053,MORTON GROVE,False,not_started,6,5,6,20,0,[],not_searched,,13,23,3,6,0,0,0,3,0,0,1,1,2,5,0,0,0,8,15,2,0,3,10,7,3,7,12,8,,,73
60188,CAROL STREAM,False,not_started,3,2,9,11,0,[],not_searched,,14,16,4,3,0,0,0,4,1,0,0,0,4,3,0,0,0,10,6,3,0,2,11,3,0,4,12,8,,,74
60639,CHICAGO,False,not_started,5,1,7,32,0,[],not_searched,,19,36,3,5,0,0,0,3,1,0,1,2,1,4,0,0,0,9,27,12,0,1,13,15,7,8,12,8,,,75
60016,DES PLAINES,False,not_started,2,1,8,37,0,[],not_searched,,31,43,2,2,0,0,0,6,0,0,0,1,1,2,0,0,0,24,19,4,0,6,23,12,2,8,10,8,,,76
60411,CHICAGO HEIGHTS,False,not_started,3,1,7,17,0,[],not_searched,,10,22,2,3,0,0,0,4,1,0,0,1,1,3,0,0,0,12,10,2,0,0,9,9,4,3,10,8,,,77
60422,FLOSSMOOR,False,not_started,1,0,9,7,0,[],not_searched,,11,13,3,1,0,0,0,3,3,1,0,1,1,1,0,0,0,8,5,1,0,2,7,2,2,3,10,8,,,78
60532,Lisle,False,not_started,1,0,9,16,0,[],not_searched,,9,23,2,1,0,0,0,7,0,0,0,0,2,1,0,0,0,16,7,1,0,3,6,11,3,12,10,8,,,79
60629,CHICAGO,False,not_started,3,1,7,28,0,[],not_searched,,19,34,1,3,0,0,0,5,1,0,1,1,0,2,0,0,0,10,24,11,0,1,18,13,2,11,10,8,,,80
60804,CICERO,False,not_started,4,1,5,16,0,[],not_searched,,7,20,1,4,0,0,0,2,2,0,0,1,0,4,0,0,0,8,12,8,0,1,4,12,3,6,9,8,,,81
60007,ELK GROVE VILLAGE,False,not_started,3,0,5,16,0,[],not_searched,,14,21,0,3,0,0,0,4,1,0,0,0,0,3,0,0,0,12,9,0,0,2,12,5,2,7,8,8,,,82
60061,VERNON HILLS,False,not_started,4,1,9,14,0,[],not_searched,,19,20,3,4,0,0,0,6,0,0,3,1,2,1,0,0,0,12,8,2,0,5,10,3,2,8,13,7,,,83
60015,DEERFIELD,False,not_started,2,0,10,12,0,[],not_searched,,15,17,5,2,0,0,0,4,1,0,0,2,3,2,0,0,0,10,7,4,0,4,10,2,1,4,12,7,,,84
60074,PALATINE,False,not_started,3,0,6,15,0,[],not_searched,,11,19,2,3,0,0,0,4,0,1,1,1,0,2,0,0,0,11,8,3,0,3,7,7,2,6,9,7,,,85
60301,OAK PARK,False,not_started,2,1,7,14,0,[],not_searched,,14,18,3,2,0,0,0,4,0,1,0,0,2,2,0,0,0,11,7,2,0,5,9,3,1,4,9,7,,,86
60510,BATAVIA,False,not_started,3,1,6,10,0,[],not_searched,,10,14,2,3,0,0,0,4,0,0,0,1,1,3,0,0,0,11,3,0,0,1,9,2,2,2,9,7,,,87
60120,ELGIN,False,not_started,1,0,7,20,0,[],not_searched,,20,26,1,1,0,0,0,5,1,0,0,0,1,1,0,0,0,18,8,3,0,2,15,7,2,8,8,7,,,88
60154,WESTCHESTER,False,not_started,2,0,5,16,0,[],not_searched,,13,21,0,2,0,0,0,2,3,0,0,0,0,2,0,0,0,15,6,1,0,0,12,5,4,6,7,7,,,89
60527,Willowbrook,False,not_started,3,0,14,28,0,[],not_searched,,15,30,12,3,0,0,0,2,0,1,0,3,8,3,0,0,0,17,13,2,0,2,11,16,1,2,17,6,,,90
60305,RIVER FOREST,False,not_started,2,0,12,13,0,[],not_searched,,12,16,9,2,0,0,0,3,0,1,0,3,5,2,0,0,0,7,9,5,0,3,9,4,0,8,14,6,,,91
60026,GLENVIEW,False,not_started,1,0,12,9,0,[],not_searched,,11,13,8,1,0,0,0,3,0,2,0,2,5,1,0,0,0,8,5,4,0,4,6,3,0,4,13,6,,,92
60302,OAK PARK,False,not_started,2,0,11,24,0,[],not_searched,,17,28,7,2,0,0,0,2,2,0,0,0,7,2,0,0,0,13,15,2,0,0,16,7,5,8,13,6,,,93
60523,Oak Brook,False,not_started,1,0,12,16,0,[],not_searched,,5,18,10,1,0,0,0,2,0,3,0,3,4,1,0,0,0,9,9,0,0,1,3,11,3,4,13,6,,,94
60504,Aurora,False,not_started,1,0,11,20,0,[],not_searched,,17,26,5,1,0,0,0,5,0,1,1,1,4,0,0,0,0,16,10,1,0,2,13,8,3,9,12,6,,,95
60632,CHICAGO,False,not_started,2,1,10,32,0,[],not_searched,,20,37,5,2,0,0,0,4,1,0,1,3,2,1,0,0,0,9,28,13,0,2,14,18,3,18,12,6,,,96
60631,CHICAGO,False,not_started,1,1,9,19,0,[],not_searched,,15,23,5,1,0,0,0,3,1,1,0,1,3,1,0,0,0,13,10,5,0,1,13,8,1,8,10,6,,,97
60643,CHICAGO,False,not_started,4,0,6,22,0,[],not_searched,,18,24,4,4,0,0,0,2,0,1,1,2,1,3,0,0,0,5,19,10,0,0,16,6,2,3,10,6,,,98
60654,CHICAGO,False,not_started,3,0,6,16,0,[],not_searched,,11,20,2,3,0,0,0,2,1,0,1,0,2,3,0,0,0,11,9,1,0,1,9,9,1,6,9,6,,,99
60451,New Lenox,False,not_started,2,0,6,19,0,[],not_searched,,11,23,2,2,0,0,0,4,0,0,0,1,1,2,0,0,0,14,9,3,0,0,10,13,0,7,8,6,,,100
60558,WESTERN SPRINGS,False,not_started,2,0,6,8,0,[],not_searched,,7,10,4,2,0,0,0,2,0,2,0,0,2,2,0,0,0,5,5,0,0,1,4,4,1,5,8,6,,,101
60101,ADDISON,False,not_started,2,1,5,16,0,[],not_searched,,15,21,0,2,0,0,0,4,1,0,0,1,0,1,0,0,0,11,10,4,0,2,12,5,2,5,7,6,,,102
60461,OLYMPIA FIELDS,False,not_started,1,0,6,7,0,[],not_searched,,6,12,1,1,0,0,0,3,2,0,0,0,1,1,0,0,0,5,7,0,0,0,6,4,2,3,7,6,,,103
60603,CHICAGO,False,not_started,3,0,4,3,0,[],not_searched,,4,6,1,3,0,0,0,1,2,0,0,0,1,3,0,0,0,4,2,1,0,0,4,2,0,2,7,6,,,104
60712,LINCOLNWOOD,False,not_started,3,2,3,15,0,[],not_searched,,8,18,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,10,8,0,0,0,8,7,3,5,6,6,,,105
60175,ST CHARLES,False,not_started,2,0,11,12,0,[],not_searched,,11,16,7,2,0,0,0,4,0,0,1,3,4,1,0,0,0,8,8,0,0,2,9,3,2,5,13,5,,,106
60640,CHICAGO,False,not_started,3,1,8,35,0,[],not_searched,,23,38,5,3,0,0,0,3,0,0,1,2,3,2,0,0,0,18,20,5,0,5,16,17,0,9,11,5,,,107
60091,WILMETTE,False,not_started,0,0,10,15,0,[],not_searched,,19,19,6,0,0,0,0,0,3,2,1,2,2,0,0,0,0,13,6,0,0,1,15,3,0,3,10,5,,,108
60404,Shorewood,False,not_started,5,1,4,10,0,[],not_searched,,8,11,3,5,0,0,0,0,1,0,1,3,0,4,0,0,0,6,5,1,0,0,4,5,2,4,9,5,,,109
60613,CHICAGO,False,not_started,2,0,7,27,0,[],not_searched,,16,30,4,2,0,0,0,3,0,0,0,1,3,2,0,0,0,18,12,4,0,4,12,12,2,10,9,5,,,110
60193,SCHAUMBURG,False,not_started,3,0,5,14,0,[],not_searched,,12,17,2,3,0,0,0,3,0,0,1,2,0,2,0,0,0,10,7,3,0,2,8,6,1,5,8,5,,,111
60516,Downers Grove,False,not_started,1,0,7,9,0,[],not_searched,,4,13,3,1,0,0,0,3,1,0,0,1,2,1,0,0,0,6,7,0,0,0,4,6,3,5,8,5,,,112
